station,DateTime,BatteryVoltage_max,BatteryVoltage_min,BatteryVoltage_mean,Humidity_max,Humidity_min,Humidity_mean,Rain_sum,Rain_max,Rain_min,Rain_mean,Temperature_max,Temperature_min,Temperature_mean,rain_stuck,batt_error,temp_error,humid_error,rain_error,error_state,error_label,error_color,kmeans_AE_labels,kmeans_tsne_labels,kmeans_umap_labels
CM-LS-002,2014-01-01,13.858333333333333,12.700000000000001,13.108680555555557,87.8583333333333,48.59166666666667,77.83576388888889,54.99999999999999,2.4,0.2,2.2916666666666665,26.71666666666667,13.450000000000003,18.664236111111112,0,0,0,0,0,0,normal,blue,0,0,0
CM-LS-002,2014-01-02,13.899999999999999,12.700000000000001,13.141666666666667,87.875,54.6,78.32777777777777,42.0,2.4,0.0,1.75,27.825000000000003,13.866666666666669,19.764930555555555,0,0,0,0,0,0,normal,blue,0,0,0
CM-LS-002,2014-01-03,14.08333333333333,12.700000000000001,13.171527777777778,87.70000000000003,49.84166666666666,77.73680555555556,47.8,2.4,0.0,1.9916666666666665,30.36666666666666,15.033333333333331,20.928124999999998,0,0,0,0,0,0,normal,blue,0,0,0
CM-LS-002,2014-01-04,14.308333333333332,12.700000000000001,13.183680555555554,87.84999999999998,57.30833333333333,78.57777777777778,38.4,2.4,0.0,1.5999999999999999,28.516666666666666,14.833333333333337,20.946875000000002,0,0,0,0,0,0,normal,blue,0,0,0
CM-LS-002,2014-01-05,13.833333333333334,12.700000000000001,13.11875,88.68333333333334,61.35833333333333,81.64687500000001,44.8,2.4,0.0,1.8666666666666665,28.041666666666668,16.083333333333332,20.958680555555556,0,0,0,0,0,0,normal,blue,0,0,0
CM-LS-002,2014-01-06,14.133333333333333,12.700000000000001,13.16388888888889,89.54166666666667,51.56666666666666,78.95173611111112,42.0,2.4,0.0,1.75,29.366666666666664,15.608333333333334,21.214583333333334,0,0,0,0,0,0,normal,blue,0,0,0
CM-LS-002,2014-01-07,13.916666666666664,12.700000000000001,13.14826388888889,89.16666666666669,41.86666666666667,75.14687500000001,41.0,2.4,0.0,1.7083333333333333,29.083333333333332,14.883333333333335,20.900347222222226,0,0,0,0,0,0,normal,blue,0,0,0
CM-LS-002,2014-01-08,14.074999999999998,12.700000000000001,13.165972222222223,88.45833333333333,44.074999999999996,75.45347222222222,0.2,0.2,0.0,0.008333333333333333,28.958333333333332,13.516666666666667,19.90625,0,0,0,0,0,0,normal,blue,0,0,0
CM-LS-002,2014-01-09,13.866666666666667,12.691666666666668,13.143749999999999,87.94166666666666,47.225,75.234375,45.599999999999994,2.4,0.0,1.8999999999999997,29.041666666666668,13.299999999999997,20.061458333333334,0,0,0,0,0,0,normal,blue,0,0,0
CM-LS-002,2014-01-10,14.216666666666663,12.700000000000001,13.164583333333335,88.17500000000001,55.66666666666666,77.58437500000001,39.0,2.4,0.0,1.625,28.424999999999997,15.274999999999997,20.851736111111112,0,0,0,0,0,0,normal,blue,0,0,0
CM-LS-002,2014-01-11,14.008333333333335,12.700000000000001,13.175694444444446,88.40000000000002,42.158333333333324,75.34722222222223,0.2,0.2,0.0,0.008333333333333333,29.63333333333333,16.116666666666664,21.40173611111111,0,0,0,0,0,0,normal,blue,0,0,0
CM-LS-002,2014-01-12,14.183333333333332,12.700000000000001,13.182638888888889,87.80833333333334,46.958333333333336,74.62291666666665,0.0,0.0,0.0,0.0,28.325,14.283333333333333,20.322222222222223,0,0,0,0,0,0,normal,blue,0,0,0
CM-LS-002,2014-01-13,14.108333333333334,12.700000000000001,13.184722222222222,87.59166666666665,45.949999999999996,74.55277777777778,40.599999999999994,2.4,0.0,1.6916666666666664,28.233333333333334,14.25,20.216319444444444,0,0,0,0,0,0,normal,blue,0,0,0
CM-LS-002,2014-01-14,13.791666666666664,12.700000000000001,13.119444444444445,87.70833333333333,53.241666666666674,77.25347222222221,35.8,2.4,0.0,1.4916666666666665,26.166666666666668,14.816666666666663,19.346875,0,0,0,0,0,0,normal,blue,0,0,0
CM-LS-002,2014-01-15,14.066666666666665,12.700000000000001,13.143055555555556,87.85833333333333,47.78333333333333,76.30347222222223,0.2,0.2,0.0,0.008333333333333333,26.73333333333333,13.958333333333336,18.996180555555554,0,0,0,0,0,0,normal,blue,0,0,0
CM-LS-002,2014-01-16,14.008333333333333,12.700000000000001,13.184027777777779,88.56666666666666,48.1,75.99340277777777,39.599999999999994,2.4,0.0,1.6499999999999997,26.275000000000002,13.199999999999998,18.72326388888889,0,0,0,0,0,0,normal,blue,0,0,0
CM-LS-002,2014-01-17,14.075000000000001,12.700000000000001,13.178819444444448,88.43333333333334,46.18333333333334,74.68819444444443,42.199999999999996,2.4,0.0,1.758333333333333,27.091666666666665,13.308333333333335,19.17673611111111,0,0,0,0,0,0,normal,blue,0,0,0
CM-LS-002,2014-01-18,13.875,12.700000000000001,13.136805555555556,88.29166666666664,51.5,72.85312499999999,0.2,0.2,0.0,0.008333333333333333,26.516666666666666,14.433333333333332,19.60763888888889,0,0,0,0,0,0,normal,blue,0,0,0
CM-LS-002,2014-01-19,13.966666666666667,12.700000000000001,13.140625,86.19166666666666,44.541666666666664,69.98680555555556,0.0,0.0,0.0,0.0,24.875000000000004,14.125,18.490972222222222,0,0,0,0,0,0,normal,blue,0,0,0
CM-LS-002,2014-01-20,13.966666666666667,12.683333333333335,13.171527777777778,87.86666666666667,46.541666666666664,74.1204861111111,0.0,0.0,0.0,0.0,26.38333333333333,11.341666666666667,17.997916666666665,0,0,0,0,0,0,normal,blue,0,0,0
CM-LS-002,2014-01-21,14.074999999999998,12.700000000000001,13.189236111111112,87.29166666666664,40.541666666666664,69.86597222222223,0.0,0.0,0.0,0.0,25.641666666666666,13.741666666666669,19.052777777777777,0,0,0,0,0,0,normal,blue,0,0,0
CM-LS-002,2014-01-22,14.208333333333334,12.674999999999999,13.192708333333334,86.89999999999999,42.95833333333334,71.68124999999999,0.0,0.0,0.0,0.0,25.325000000000003,11.100000000000001,17.13576388888889,0,0,0,0,0,0,normal,blue,0,0,0
CM-LS-002,2014-01-23,14.266666666666666,12.649999999999999,13.188541666666666,86.98333333333333,20.433333333333334,66.40833333333335,0.0,0.0,0.0,0.0,28.166666666666668,9.458333333333334,16.63888888888889,0,0,0,0,0,0,normal,blue,0,0,0
CM-LS-002,2014-01-24,14.108333333333334,12.641666666666664,13.204513888888888,85.99166666666667,39.641666666666666,70.27048611111111,0.0,0.0,0.0,0.0,26.358333333333338,9.683333333333334,16.720833333333335,0,0,0,0,0,0,normal,blue,0,0,0
CM-LS-002,2014-01-25,13.966666666666667,12.674999999999999,13.182638888888889,85.99166666666667,43.65833333333333,72.02465277777777,36.599999999999994,2.4,0.0,1.5249999999999997,28.666666666666668,11.241666666666667,18.695486111111112,0,0,0,0,0,0,normal,blue,0,0,0
CM-LS-002,2014-01-26,14.091666666666667,12.700000000000001,13.194097222222224,85.71666666666668,41.18333333333333,71.02708333333334,41.4,2.4,0.0,1.7249999999999999,28.983333333333334,13.058333333333335,19.770833333333332,0,0,0,0,0,0,normal,blue,0,0,0
CM-LS-002,2014-01-27,14.166666666666664,12.700000000000001,13.198958333333332,85.50833333333333,37.099999999999994,70.67465277777778,0.2,0.2,0.0,0.008333333333333333,29.258333333333336,13.325000000000001,19.847222222222225,0,0,0,0,0,0,normal,blue,0,0,0
CM-LS-002,2014-01-28,13.958333333333334,12.700000000000001,13.181597222222223,85.37499999999999,41.98333333333333,71.02152777777778,0.0,0.0,0.0,0.0,29.116666666666664,13.616666666666665,20.316666666666666,0,0,0,0,0,0,normal,blue,0,0,0
CM-LS-002,2014-01-29,14.016666666666666,12.700000000000001,13.187847222222222,85.39999999999999,39.95,70.85069444444444,0.0,0.0,0.0,0.0,29.974999999999998,14.391666666666664,20.924652777777776,0,0,0,0,0,0,normal,blue,0,0,0
CM-LS-002,2014-01-30,14.033333333333333,12.700000000000001,13.180555555555557,85.05833333333335,42.050000000000004,70.56354166666667,0.0,0.0,0.0,0.0,30.183333333333334,14.883333333333335,21.329513888888886,0,0,0,0,0,0,normal,blue,0,0,0
